theta,A2,phi1,phi2,a,b,z,status
30.0,-14.0,20.0,0.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,10.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,30.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,40.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,50.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,240.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,250.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,260.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,270.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,280.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,300.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,310.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,320.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,330.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,340.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,350.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,360.0,8.0,6.8,-3.0,NotYet
30.0,-14.0,20.0,290.0,8.0,6.8,-3.0,NotYet
30.0,0.0,10.0,160.0,9.8,6.1,2.4,NotYet
30.0,0.0,10.0,170.0,9.8,6.1,2.4,NotYet
30.0,0.0,10.0,180.0,9.8,6.1,2.4,NotYet
60.0,-10.0,30.0,0.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,10.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,20.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,30.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,40.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,210.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,220.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,230.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,240.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,250.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,260.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,270.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,280.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,200.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,300.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,310.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,320.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,330.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,340.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,350.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,360.0,6.1,8.4,-3.2,NotYet
60.0,-10.0,30.0,290.0,6.1,8.4,-3.2,NotYet
